,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18
Monocytes,0.0,0.0,0.07803896964228364,0.0,0.004620644474127634,0.0,0.0017488317519218247,0.006897101235514582,0.030726042659014137,0.08919772449615151,0.27516606826122475,0.0,0.16370420952687753,0.2010142323727915,0.04342096221113654,0.10546521336895642,0.0,0.0,0.0
NK,0.0,0.0,0.0,0.006250089942344714,0.0,0.019450330671626603,0.4850393738982545,0.04714862535837734,0.026469393200890833,0.05894851554558278,0.07141881960513828,0.026082234046434945,0.033286029814700545,0.09483101287303841,0.0,0.012700880542948987,0.06682631414805153,0.021237108901302128,0.030311271451308266
NKT,0.055226801990253815,0.0,0.07214406292620179,0.03312888286069117,0.018435516104772457,0.0,0.12646644322095685,0.0,0.003462582796864726,0.0757832808249477,0.10280130025271687,0.007608043415088602,0.05897194717137681,0.12202551243171632,0.11935415474270085,0.10225414841608356,0.07456721614540056,0.027770106700227924,0.0
T_CD4+,0.12976366435046607,0.020283424810125218,0.10871918582620416,0.061834386992121675,0.06234829815663914,0.0,0.0,0.0,0.0,0.024413026990563892,0.07858142559368302,0.0,0.06350273573087899,0.024688246616551,0.2925215370883144,0.08026968222909366,0.03862930350850716,0.014445082106851555,0.0
T_CD4+_TfH,0.0,0.0,0.0,0.018015598307749056,0.008344007183664126,0.05425224856805146,0.20884676559494164,0.09996875094868699,0.010892736478883018,0.13226448401853336,0.018363874117722816,0.028101139144432703,0.0,0.1652251087736263,0.0,0.0,0.2506800862536912,0.0,0.00504520061001727
T_CD4+_TfH_GC,0.0,0.056421488855936196,0.010926101863084707,0.05790178652312129,0.0,0.5719136096901569,0.0,0.06758083696903242,0.0023958714221873467,0.0,0.0,0.16010616367667124,0.0,0.0,0.025923551294559154,0.0,0.04683058970525061,0.0,0.0
T_CD4+_naive,0.06485220431586515,0.0,0.0,0.0,0.6906133846101357,0.0,0.0,0.0,0.0023238117008626447,0.0,0.0,0.0,0.0,0.011118724796716006,0.12725148967048538,0.0010107894959237064,0.10169910510230823,0.0011304903077033592,0.0
T_CD8+_CD161+,0.00940885967756418,0.011411894712558228,0.006811107023682466,0.03321082525035332,0.035209281288166985,0.009932674830325483,0.20056103582394025,0.047747709427294685,0.009050235858597976,0.09321730105821624,0.07056355718683248,0.020835710076606846,0.038925974507677784,0.16214025967916423,0.023705777597359017,0.026444888123029583,0.16978158508623345,0.008057309124385409,0.022984013668011574
T_CD8+_cytotoxic,0.041217575114010335,0.022112532320396585,0.020901373412358853,0.0,0.003399647919345309,0.029830579085096186,0.3441482769070412,0.056520466910302956,0.026763098126370323,0.06848597471862869,0.0,0.003524527481818833,0.0,0.10804135582872777,0.004715703062980095,0.0,0.2703388891129228,0.0,0.0
T_CD8+_naive,0.0,0.0,0.0,0.0,0.34496619404038614,0.0,0.1452090029159302,0.014340549800754504,0.0,0.07655372807744518,0.021526677646905915,0.0,0.011758517853212478,0.1538886718729064,0.0,0.0,0.1841595354705167,0.025929634933484227,0.021667487388458376
T_TIM3+,0.005006695316554279,0.0,0.013729745146896946,0.016898058132580995,0.007377648565343984,0.013382674735094038,0.0698138491935556,0.054230684748033026,0.02721350304660796,0.04770382814371207,0.047806399854488264,0.030080831986829336,0.028494785502512443,0.04658680313135371,0.0021007088944070646,0.0,0.08975106349009736,0.08181903787948942,0.4180036822324435
T_TfR,0.013189881817569894,0.007627200275579448,0.043023605391696175,0.0037904044407213195,0.023107802980733602,0.10677163738367834,0.0,0.012342771188050033,0.0290748278087255,0.0,0.046136040215278284,0.0,0.007771717999387197,0.0,0.05825122636327626,0.0,0.5593547731740783,0.04724685018390959,0.04231126077731595
T_Treg,0.0,0.0,0.0,0.006678145602862935,0.050782837596505113,0.011862651045156115,0.06742250012892857,0.06664676570321275,0.01563951361258146,0.026930745965703343,0.01506734589708092,0.007208536213277524,0.0,0.07305098386585632,0.0,0.0071450872616769705,0.640674195226574,0.01064118726490732,0.00024950461567680663
VSMC,0.03706696439045167,0.0,0.05480213167094554,0.0035749840939808485,0.024590581634805982,0.0,0.03133982309877848,0.01734050555819217,0.004990357911585982,0.04718093241721538,0.05205841779277575,0.0,0.0676893248295694,0.03496405767196412,0.02070654069967988,0.5127836269517974,0.03302422161188407,0.020867429786896822,0.03702009987947664
