,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12,mean_cell_type_factorsfact_13,mean_cell_type_factorsfact_14,mean_cell_type_factorsfact_15,mean_cell_type_factorsfact_16,mean_cell_type_factorsfact_17,mean_cell_type_factorsfact_18,mean_cell_type_factorsfact_19,mean_cell_type_factorsfact_20,mean_cell_type_factorsfact_21,mean_cell_type_factorsfact_22,mean_cell_type_factorsfact_23,mean_cell_type_factorsfact_24,mean_cell_type_factorsfact_25
T_CD4+_TfH,0.01564373013253563,0.0,0.06820480601600858,0.0,0.022925836556658363,0.1790203525130431,0.0,0.1573676368718854,0.009616713824461115,0.0238350626336487,0.0,0.06935912711601962,0.006256512315755376,0.0,0.0,0.0,0.13370112805712722,0.0,0.016137390629869918,0.0,0.02520217491870096,0.0,0.05807872989591506,0.04384863708466311,0.0,0.17080216143370774
T_CD4+_TfH_GC,0.002355601446892593,0.0,0.06831950167215767,0.0,0.0,0.04237956524643051,0.0637623866628244,0.0,0.0012712203263351408,0.1538009592254784,0.015894291466800065,0.0,0.05098638197725154,0.0,0.0,0.0,0.0001998281191221065,0.0004573091010359826,0.025018547403895617,0.021270975210596586,0.0,0.0,0.0,0.5411469236110484,0.0,0.013136508530130823
T_CD4+_naive,0.6892453788299145,0.007245435658208536,0.0,0.0,0.0,0.08612800126074506,0.0,0.0,0.00044020584930062727,0.0,0.0,0.0,0.0,0.0,0.003308318848597531,0.0,0.0,0.06989898069295947,0.0,0.12814243480198914,0.010737095301832622,0.0031882835620553806,0.0016658651943969299,0.0,0.0,0.0
T_CD8+_CD161+,0.035139757715344486,0.015093642385286153,0.03149656640542028,0.026140394284465178,0.03798085749173658,0.10386593282729689,0.0019915960521526095,0.15036276475846105,0.007597712911723655,0.018413903863320702,0.014318587626130322,0.04741112385716268,0.021440863124774744,0.017951065371465003,0.004170178594397238,0.013723404427963793,0.1954990364163785,0.004471684871109985,0.017843493612487136,0.019664699000753093,0.03276570013106634,0.007431972416865115,0.027572376387531506,0.009525150585395324,0.022043723410481216,0.11608381147083036
T_CD8+_cytotoxic,0.011944184174324477,0.0046986425361998044,0.043770981934684663,0.005334400744272399,0.019254173388990607,0.13088784365186393,0.0,0.0569036752817693,0.018756943661588914,0.010885555593100078,0.01662843877097893,0.060811062352789894,0.005050431008585304,0.005418917465161539,0.0471204067295553,0.0,0.43757490180074926,0.004332639753400481,0.004462591065611976,0.00434627916748342,0.04946955082295806,0.0,0.02615992448212019,0.021308331106961523,0.0017130163296576687,0.013167108177192155
T_CD8+_naive,0.29088330720449646,0.0,0.006054148602691778,0.00069153420052765,0.042742033707642665,0.11237775085536096,0.0,0.10303206000895945,0.0,0.0,0.0,0.0003977118225114963,0.0,0.014438329363856918,0.0,0.0,0.1909760390040824,0.0,0.0,0.0,0.06086631295118121,0.025136311042611617,0.033453247279117894,0.0,0.007782320823716548,0.11116889313324292
T_TIM3+,0.011593217033496507,0.0,0.0463315531551647,0.03384336178413905,0.03374135832194589,0.0715842631801765,0.0,0.058299250380141325,0.021430280271982485,0.02713654280898445,0.005173910157872116,0.03493489145236603,0.012088768512305559,0.3774971263825946,0.03001718560558964,0.013066291726824709,0.04228761931615596,0.0,0.014127428616409775,0.0,0.0,0.07615249777504232,0.03183854175120666,0.009537687585146181,0.020937556474642415,0.028380667707813015
T_TfR,0.0401673775171239,0.0,0.013229004809155225,0.0,0.0,0.36113855898409736,0.0,0.0,0.01755003570373218,0.0036169078603605744,0.003950197204642364,0.0,0.004867595935702717,0.020677041398727784,0.35148642710384415,0.0,0.0,0.0,0.004197613795390356,0.041381014088382795,0.0035516587459927993,0.031063374339703773,0.0,0.09071074967304182,0.012412442840102208,0.0
T_Treg,0.06032410763398577,0.0,0.045338380615888414,0.00793702677415433,0.015591414340358094,0.5572504751180555,0.0,0.02199650149022882,0.015397183386792098,0.010175100160512169,0.0,0.04245476544040656,0.0,0.001283325869257842,0.0,0.0,0.039946662148570546,0.0,0.0,0.0,0.019376318307995456,0.0,0.020538155406069014,0.004380352669874783,0.0,0.13801023063785048
VSMC,0.022242117155600972,0.4703597184719835,0.013625797727845097,0.042460508088960756,0.04185875785755302,0.028516503131427662,0.0,0.048479885296355524,0.0006493672020990562,0.0,0.04695013105218265,0.030260377972228743,0.007196964764393997,0.0356282448435462,0.0,0.01117802220066664,0.015818533703636325,0.010365815944097728,0.004605858748455342,0.025290360019984807,0.012695988352609865,0.008510575360036387,0.027409024077806907,0.00017230748768766097,0.0566761715481412,0.03904896899270001
