"","HYPO_dorsal","HYPO_dorsal2","HYPO_ventral","HYPO_ventral2","THAL_latHabenula","THAL_lateral","THAL_lateral2","THAL_medHabenula","THAL_medial","THAL_venmedial","WM_dorsal","WM_ventral","PIA_dorsal","VENTRICLE","HPC","HPC_CA1","HPC_CA2/3","HPC_DG","STR","AMY_basomedial","AMY_posterior","PirCTX_L1","PirCTX_L2/3","CTX_ L5","CTX_L1","CTX_L2/3","CTX_L4","CTX_L5","CTX_L6","CTX_L6b"
"Ext_Hpc_CA1",0.000374143133170736,0.000398095445151752,0.00157993389928508,0.000294820851446265,0.000786046537080313,0.000744615196556048,0.000458194200209256,0.000766115647925534,0.0008949047178669,0.000665985315337605,0.00111243948291568,0.00576436671575583,0.00123779509981253,0.00100605943925081,0.0489005452430294,1,0.0599610800485703,0.00481145144882371,0.00216955152225675,0.00594341060614982,0.0032305123005965,0.00167825837277483,0.00589359152595257,0.00236385939985725,0.00109746575148619,0.00444307812179159,0.00256754929127458,0.00451318670545897,0.00461324904899837,0.00390086865151016
"Unk_1",0.0158657003265697,0.00905191360839068,0.100535214677272,0.0095582212084344,0.013015717095889,0.00559957575806462,0.00747997325181181,0.0126815959795905,0.034086434498108,0.00813745924726296,0.00199901959243264,0.0107604631005067,0.0239020553889018,0.00923257964969803,0.124754822771499,0.436094243048094,1,0.147720998783733,0.042155883005682,0.338913170585947,0.278264357730517,0.160291155710681,0.398020005844048,0.0552044049570411,0.0525160892556299,0.168531695157742,0.028450684596142,0.317304073920297,0.174102994105411,0.321321997540156
"Ext_Hpc_CA2",0.00239421551992354,0.00290087666235835,0.00489044272641441,0.00161721937604347,0.0036517192104196,0.00607393239952723,0.00479165741320431,0.0120085658346871,0.00489033510088302,0.00534615965657473,0.011337120938423,0.0179758988204031,0.00884883484752512,0.0065743671457485,0.132132330398789,0.199874879160303,1,0.0682450282612297,0.0161235958392585,0.0261037291003578,0.0222484156363368,0.0094848689821288,0.0249571336639694,0.0108249181573617,0.00446937406348406,0.0146750091256359,0.0185191363079642,0.0247877511686916,0.027437426036882,0.0201525112327513
"Ext_Hpc_CA3",0.000548663847940468,0.000832783175804061,0.000943564657936091,0.000343618644319779,0.00040128905919235,0.00416209547759911,0.00113104230078059,0.00185042768754451,0.00111316974263717,0.00251166108991666,0.00253390231507986,0.00425134497413242,0.00113549640386345,0.00102388291444803,0.0404758900213633,0.0196704428780169,1,0.0543072898144046,0.00167064057791622,0.0132302612352242,0.00184597170046168,0.00217745510037709,0.00580502522150224,0.00333996103814602,0.000697357620990886,0.00241539711299401,0.00469063796818852,0.00746254063883782,0.00607487725848987,0.00553973945210467
"Inh_Meis2_2",0.00239618506632028,0.00639336261746621,0.0188731945509218,0.00186364598120656,0.00214509903653313,0.00319574753056401,0.00378997870536449,0.00434117783926842,0.00342822713895085,0.00265428396986444,0.0347726946750519,0.0220176219795584,0.0079195236999493,0.0682407787282311,0.00815273143041872,0.01084802091436,0.00884929101016923,0.00951938507589335,1,0.0104457183072737,0.00753331195365523,0.00664616446689882,0.0131219214555325,0.00535510238780716,0.00330084388060353,0.00953078941448408,0.00795191637155704,0.00802035367839385,0.0114455037374336,0.0181851046094896
"Inh_Meis2_3",0.0036053591891745,0.00611701550376475,0.102728878911744,0.00192963811991093,0.00170832647615339,0.00295046276022555,0.00338178990126119,0.00405993413786643,0.00296794293815916,0.002560122286965,0.0262318244219705,0.0158412174004312,0.0148191750494339,0.0243813127897824,0.0079510181002698,0.0106089154484025,0.00824604223366898,0.00970062263670255,1,0.0238715686215862,0.00705501596736309,0.00937748317673584,0.0148975537971999,0.00546850541543679,0.00316949124848902,0.010204118638553,0.00839268147896842,0.00799305941228076,0.0126342307378795,0.0302783796984639
"Inh_1",0.081068484221675,0.0145307098920916,1,0.0233387869517088,0.0433993498750981,0.00233598963493093,0.0079253790249668,0.0505111871955099,0.0190666386495044,0.0118935815995943,0.0122279711450252,0.015294659630479,0.0329749481563096,0.101893042917937,0.00476004914594729,0.0137349763627245,0.0163641037013746,0.0212888953525947,0.0564441235471933,0.0700882158239435,0.193001277808812,0.0275550687874855,0.064024564286731,0.00282692770097056,0.00262941248996408,0.00574129700081891,0.00365015643679472,0.0115040951538451,0.00653736599543815,0.0362128051863377
"Inh_Meis2_1",0.0303979555586453,0.0210478295580082,1,0.016345881146013,0.015404394635139,0.0116542459452662,0.0147576460477099,0.0272956921305054,0.0246605136454492,0.016835253877341,0.0385901384460977,0.0772323061289824,0.027364535415201,0.0407872531585269,0.0303045629440813,0.0932422906532852,0.100577603288274,0.0588615137760652,0.210965088629027,0.328125047652198,0.144495951660619,0.0763891110364098,0.185267304513119,0.0196149654353957,0.0138106166948718,0.0569727476754043,0.0243199754162547,0.0614275180273089,0.0472226199061809,0.141482503716853
"Ext_L23",0.00113965042325626,0.00132600786323184,0.0037218686975727,0.000933559629804153,0.00135050497842135,0.0024272232088768,0.00168660723931993,0.0020391471720343,0.00209452056323707,0.00224433510540345,0.00156658320051738,0.00244893095932769,0.0451230009505327,0.00423906153419324,0.00726416972980262,0.012752504695408,0.0101361755172465,0.0355442413978678,0.0159635094936145,0.0113590157980118,0.00411249405501487,0.022003878129176,0.0882498871212375,0.0460148637389588,0.132440677209553,1,0.134546558578826,0.0485810305623166,0.0538636770440673,0.00758874338887539
"Ext_Unk_2",0.0507867254948629,0.0136013236834902,0.0181675454998936,1,0.00579070325711171,0.00210785658330324,0.00283574777922131,0.0112900276484224,0.0155295359620672,0.00473826615123429,0.00225175728690834,0.00266904065386061,0.00331555615235761,0.00519779177213224,0.00224158912135175,0.00706266328490202,0.0101190204923962,0.00829186142047334,0.00340213691467695,0.00989985010843457,0.00915334055315901,0.00363883201328424,0.00986757158557278,0.00336050310596101,0.00218076299383076,0.00413037631467275,0.00428168591860928,0.0082134648537178,0.00518812711626603,0.00801574550254785
